구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,SEC,SAS,Taylor,T1(Fab1),Foundry,USA,USA,Korea,5nm/7nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,LC영업,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,10,10,15,15,20,20,25,25,28
거래고객,SEC,SAS,Taylor,T1(Fab2),Foundry,USA,USA,Korea,5nm/7nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,LC영업,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,10,15,20,30
거래고객,TI,TI,Texas,DMOS6/RFab1,IDM,USA,USA,USA,180nm,Analog,Analog,Analog,PW,Prime,Polished,미국법인,비메모리,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,90,90,90,90,90,90,90,90,90,90,90,90
거래고객,TI,TI,Texas,RFab1(DMOS6),IDM,USA,USA,USA,,Analog,Analog,Analog,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,TI,TI,Texas,RFab2,IDM,USA,USA,USA,180nm,Analog,Analog,Analog,PW,Prime,Polished,미국법인,비메모리,0,0,20,20,28,28,28,28,60,60,60,60,65,65,65,65,65,65,65,65,65,65,65,65,70,70,70,70
거래고객,TI,TI,Utah,LFab,IDM,USA,USA,USA,?,Analog,Analog,Analog,PW,Prime,Polished,미국법인,비메모리,0,0,0,0,5,5,5,5,15,15,15,15,20,25,35,40,40,40,40,40,50,50,50,50,60,60,60,60
거래고객,TI,TI,Utah,LFab,IDM,USA,USA,USA,?,Analog,Analog,Analog,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,TI,TI,Texas,Sherman,IDM,USA,USA,USA,?,Analog,Analog,Analog,PW,Prime,Polished,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,15,15,15,15,20,20,20,20,30,30,30,30
거래고객,UMC,USC,Xiamen,12X,Foundry,China,China,Taiwan,"28,40",Logic,Logic,Logic,EPI,EPI,Epitaxial,대만지사,비메모리,25,25,25,25,25,25,25,25,32,32,32,32,38,38,38,38,41,41,41,41,44,44,44,44,47,47,47,47
거래고객,TSMC,TSMC,Nanjing,Fab 16B,Foundry,China,China,Taiwan,28,Logic,Logic,Logic,EPI,EPI,Epitaxial,대만지사,비메모리,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
